Model,Location,Miles,Prices,Year,Scraped_On
 Nissan pathfinder SE Sport Utility 4D,"Latonia, KY",123K miles,$495,1998,2024-07-01
 Ford fusion,"Cincinnati, OH",222K miles,"$1,400",2014,2024-07-01
 Pontiac firebird,"Covington, KY",68K miles,"$16,500",1968,2024-07-01
 Honda accord EX Coupe 2D,"Fort Mitchell, KY",182K miles,"$2,800",2000,2024-07-01
 Pontiac grand am SE Sedan 4D,"Covington, KY",123K miles,"$1,000",2005,2024-07-01
 Kia optima LX Sedan 4D,"Bethel, OH",160K miles,"$4,000",2007,2024-07-01
 Chevrolet cobalt SS Sedan 4D,"Aberdeen, OH",170K miles,"$1,200",2007,2024-07-01
 Ford mustang Deluxe Convertible 2D,"Cincinnati, OH",200K miles,"$1,500",2007,2024-07-01
 Alfa Romeo spider,"Melbourne, KY",88K miles,"$1,500",1986,2024-07-01
 Chevrolet cobalt Coupe 2D,"Bellevue, KY",151K miles,"$1,500",2005,2024-07-01
 Ram 1500 crew cab Laramie Pickup 4D 5 1/2 ft,"Covington, KY",122K miles,"$2,500",2012,2024-07-01
 Kia optima EX Sedan 4D,"Cincinnati, OH",212K miles,"$3,999",2012,2024-07-01
 Kia optima EX Sedan 4D,"Lawrenceburg, IN",185K miles,"$3,000",2010,2024-07-01
 Infiniti g35,"Enon, OH",123K miles,"$6,700",2006,2024-07-01
 Chevrolet impala LS Sedan 4D,"Latonia, KY",170K miles,"$1,300",2003,2024-07-01
 Mercedes-Benz r-class R 350 Sport Wagon 4D,"Cincinnati, OH",178K miles,"$2,500",2007,2024-07-01
 BMW 3 series 328xi Sedan 4D,"North Vernon, IN",132K miles,$1,2007,2024-07-01
 Oldsmobile aurora ￼,"Latonia, KY",162K miles,$500,2000,2024-07-01
 Hyundai santa fe sport Sport Utility 4D,"Covington, KY",100K miles,$850,2003,2024-07-01
 Audi a3 2.0T Wagon 4D,"Fort Thomas, KY",203K miles,"$2,400",2006,2024-07-01
 Nissan altima 2.5 Sedan 4D,"Lexington, KY",160K miles,"$3,495",2010,2024-07-01
 Toyota supra,"Latonia, KY",157K miles,"$1,500",1989,2024-07-01
 Hyundai sonata SE Sedan 4D,"Cincinnati, OH",195K miles,"$2,200",2008,2024-07-01
 Chevrolet venture passenger Extended Minivan 4D,"North Vernon, IN",169K miles,$800,2001,2024-07-01
 BMW m3 Convertible 2D,"Cincinnati, OH",139K miles,"$23,500",1998,2024-07-01
 Bailey sprint car,"Cincinnati, OH",,"$8,000",2006,2024-07-01
 Ford escape,"Covington, KY",14K miles,"$1,700",2003,2024-07-01
 Chrysler pt cruiser Touring Sport Wagon 4D,"Latonia, KY",85K miles,"$1,750",2003,2024-07-01
 Chevrolet cruze 1LT Sedan 4D,"Brooksville, KY",174K miles,$800,2014,2024-07-01
 Porsche,"Independence, KY",40K miles,"$6,500",1975,2024-07-01
 Chevrolet equinox LS Sport Utility 4D,"Cincinnati, OH",89K miles,"$1,000",2015,2024-07-01
 Nissan murano SL Sport Utility 4D,"Cincinnati, OH",191K miles,"$2,800",2007,2024-07-01
 Nissan sentra,"Brooksville, KY",137K miles,$700,2011,2024-07-01
 Honda civic LX Sedan 4D,"Newport, KY",200K miles,$800,1998,2024-07-01
 Ford escape XLT Sport Utility 4D,"Newport, KY",165K miles,"$1,500",2002,2024-07-01
 Acura,"Newport, KY",193K miles,$500,2003,2024-07-01
 Chrysler sebring Touring Sedan 4D,"Latonia, KY",180K miles,$400,2006,2024-07-01
 Chevrolet equinox,"Cincinnati, OH",154K miles,"$3,150",2004,2024-07-01
 Buick lesabre,"Cincinnati, OH",1K miles,Free,1987,2024-07-01
 Mercedes-Benz e-550 parts cars parts only Parts only i repeat parts only,"Cincinnati, OH",190K miles,$400,2010,2024-07-01
 BMW 3 series 325xi Sedan 4D,"Alexandria, KY",165K miles,"$1,300",2004,2024-07-01
 Infiniti qx60 3.5 Sport Utility 4D,"Cincinnati, OH",150K miles,"$3,000",2014,2024-07-01
 Ford five hundred SEL Sedan 4D,"Newport, KY",228K miles,"$1,500",2005,2024-07-01
 Nissan maxima GLE Sedan 4D,"Cincinnati, OH",176K miles,$650,1996,2024-07-01
 Chevrolet s10 regular cab Short Bed,"Covington, KY",213K miles,"$2,000",2000,2024-07-01
 Toyota matrix XR Sport Wagon 4D,"Hamilton, OH",237K miles,"$1,300",2006,2024-07-01
 Ford focus ZX4 SE Sedan 4D,"Bellevue, KY",244K miles,"$1,260",2005,2024-07-01
 Chevrolet s-10 Pickup 2D 6 ft,"Marysville, IN",123K miles,$600,1988,2024-07-01
 Honda accord EX Sedan 4D,"Cincinnati, OH",240K miles,"$2,000",1995,2024-07-01
 Kia sportage LX Sport Utility 4D,"Latonia, KY",168K miles,"$2,700",2007,2024-07-01
 Mercury sable Premier Sedan 4D,"Camden, OH",99K miles,"$7,000",2008,2024-07-01
 Ford taurus SE Sedan 4D,"Dayton, OH",77K miles,"$4,600",2000,2024-07-01
 Chevrolet malibu,"Latonia, KY",192K miles,"$1,000",2010,2024-07-01
 Dodge dart Aero Sedan 4D,"Brooksville, KY",132K miles,"$1,000",2013,2024-07-01
 GMC sierra (classic) 2500 crew cab Suburban,"Silver Grove, KY",169K miles,"$4,500",1986,2024-07-01
 Chevrolet s10 regular cab Short Bed,"Covington, KY",123K miles,"$11,000",2000,2024-07-01
 Ford f150 (heritage) regular cab F-100 Sport Custom,"La Grange, KY",80K miles,"$4,500",1970,2024-07-01
 Nissan altima 2.5 Sedan 4D,"Hamilton, OH",226K miles,"$1,700",2010,2024-07-01
 Ford ranger super cab XLT Pickup 2D 6 ft,"Covington, KY",195K miles,$500,2006,2024-07-01
 Honda pilot EX Sport Utility 4D,"Newport, KY",280K miles,"$1,950",2006,2024-07-01
 Jeep grand cherokee,"Newport, KY",213K miles,"$1,600",2006,2024-07-01
 Chevrolet traverse LS Sport Utility 4D,"Alexandria, KY",140K miles,"$1,300",2010,2024-07-01
 Mitsubishi lancer O-Z Rally Edition Sedan 4D,"Cincinnati, OH",229K miles,"$2,400",2003,2024-07-01
 Ford explorer Eddie Bauer Sport Utility 4D,"Covington, KY",246K miles,"$1,400",2000,2024-07-01
 Ford focus SE Wagon 4D,"Cincinnati, OH",189K miles,"$3,000",2007,2024-07-01
 Chevrolet s10 extended cab 355 v8-Restomod-Cash/Trade,"Cincinnati, OH",1.4K miles,$155,1993,2024-07-01
 Ford explorer,"Latonia, KY",150K miles,"$1,000",2006,2024-07-01
 Ford explorer Sport Utility 4D,"Covington, KY",177K miles,"$1,500",1997,2024-07-01
 Ford escape,"Covington, KY",150K miles,"$1,400",2002,2024-07-01
 Chevrolet tahoe Sport Utility 4D,"Alexandria, KY",325K miles,"$2,500",2001,2024-07-01
 Chevrolet silverado 1500 extended cab Long Bed,"Cincinnati, OH",192K miles,"$3,000",2000,2024-07-01
 Ford mustang GT Convertible 2D,"Cincinnati, OH",148K miles,"$2,500",1995,2024-07-01
 Chevrolet impala LS Sedan 4D,"Cincinnati, OH",188K miles,"$1,000",2011,2024-07-01
 Chevrolet silverado 1500 regular cab LS Pickup 2D 6 1/2 ft,"Fort Thomas, KY",176K miles,"$1,900",2004,2024-07-01
 Chevrolet impala,"Cincinnati, OH",170K miles,"$1,000",2002,2024-07-01
 Cadillac STS-V Sedan 4D,"Cincinnati, OH",175K miles,"$2,500",2009,2024-07-01
 Chevrolet avalanche 1500 LT Sport Utility Pickup 4D 5 1/4 ft,"Cincinnati, OH",210K miles,"$3,300",2005,2024-07-01
 Chevrolet hhr LS Sport Wagon 4D,"Cincinnati, OH",191K miles,"$1,200",2007,2024-07-01
 Honda accord LX Sedan 4D,"Covington, KY",104K miles,"$2,500",1996,2024-07-01
 Oldsmobile cutlass,"Cincinnati, OH",123K miles,"$11,000",1964,2024-07-01
 Nissan altima 2.5 S Sedan 4D,"Alexandria, KY",1.2K miles,"$2,000",2008,2024-07-01
 Volkswagen passat 2.5L SE Sedan 4D,"Cincinnati, OH",43K miles,"$6,800",2013,2024-07-01
 Nissan altima 2.5 S Sedan 4D,"Cincinnati, OH",50K miles,"$8,878",2018,2024-07-01
 Chevrolet malibu LS Sedan 4D,"Cincinnati, OH",127K miles,"$7,500",2016,2024-07-01
 Chrysler 200S Sedan 4D,"Cincinnati, OH",58K miles,"$11,999",2016,2024-07-01
 Ford taurus sel,"Cincinnati, OH",127K miles,"$7,100",2015,2024-07-01
 Hyundai accent se 6a,"Hamilton, OH",47K miles,"$14,900",2021,2024-07-01
 Infiniti q50 3.7 Premium Sedan 4D,"Cincinnati, OH",152K miles,"$8,700",2015,2024-07-01
 Kia forte EX Sedan 4D,"Dayton, OH",48K miles,"$7,000",2010,2024-07-01
 Acura mdx SH-AWD Sport Utility 4D,"Cincinnati, OH",72K miles,"$12,500",2015,2024-07-01
 Ford taurus sel awd 3.5l v6,"Cincinnati, OH",99K miles,"$11,993",2015,2024-07-01
 Audi q3 Premium Plus Sport Utility 4D,"Cincinnati, OH",136K miles,"$9,200",2018,2024-07-01
 Honda civic,"Cincinnati, OH",108K miles,"$9,995",2015,2024-07-01
 Nissan altima 2.5 SV Sedan 4D,"Dayton, OH",150K miles,"$5,000",2015,2024-07-01
 Nissan rogue S Sport Utility 4D,"Dayton, OH",103K miles,"$6,750",2016,2024-07-01
 Chevrolet malibu LT Sedan 4D,"Monroe, OH",59K miles,"$10,500",2017,2024-07-01
 Chevrolet impala LT Sedan 4D,"Cincinnati, OH",68K miles,"$8,800",2018,2024-07-01
 Kia N/A,"Cincinnati, OH",60K miles,"$6,500",2021,2024-07-01
 Hyundai elantra GLS Sedan 4D,"Cincinnati, OH",104K miles,"$2,500",2004,2024-07-01
 Mazda 3 s hatchback,"Florence, KY",165K miles,"$3,900",2005,2024-07-01
 Kia optima LX Sedan 4D,"Hamilton, OH",107K miles,"$8,500",2013,2024-07-01
 Honda accord EX Sedan 4D,"Cincinnati, OH",160K miles,"$5,500",2010,2024-07-01
 Ford taurus SE Sedan 4D,"Cincinnati, OH",137K miles,"$4,500",2013,2024-07-01
 Honda insight EX Sedan 4D,"Cincinnati, OH",88K miles,"$2,600",2019,2024-07-01
 Honda accord EX Sedan 4D,"Cincinnati, OH",134K miles,"$4,850",2006,2024-07-01
 Chevrolet malibu LS Sedan 4D,"Cincinnati, OH",185K miles,"$5,800",2016,2024-07-01
 Nissan altima 3.5 SE Sedan 4D,"Loveland, OH",126K miles,"$4,400",2009,2024-07-01
 Chevrolet equinox,"Cincinnati, OH",92K miles,"$6,000",2018,2024-07-01
 Hyundai genesis coupe 2.0T Coupe 2D,"Scottsburg, IN",120K miles,"$7,500",2011,2024-07-01
 Toyota camry SE Sedan 4D,"Greensburg, IN",999K miles,"$1,999",2005,2024-07-01
 Audi a5 3.2 Quattro Coupe 2D,"Fort Mitchell, KY",107K miles,"$5,250",2009,2024-07-01
 Kia soul + Wagon 4D,"Amelia, OH",246K miles,"$1,600",2012,2024-07-01
 Nissan maxima S Sedan 4D,"Erlanger, KY",250K miles,"$3,000",2014,2024-07-01
 Mazda mx-5 miata Convertible 2D,"Cincinnati, OH",150K miles,"$4,000",1995,2024-07-01
 Ford focus S Sedan 4D,"Latonia, KY",172K miles,"$2,000",2014,2024-07-01
 Subaru svx Sport Coupe 2D,"Latonia, KY",105K miles,$800,1992,2024-07-01
 Honda civic DX Coupe 2D,"Crestwood, KY",93K miles,"$4,000",2002,2024-07-01
 Toyota c-hr LE Sport Utility 4D,"Cincinnati, OH",82K miles,$500,2021,2024-07-01
 Volkswagen eos lux,"Dayton, OH",117K miles,"$2,295",2007,2024-07-01
 Ford fiesta SE Sedan 4D,"Batavia, OH",270K miles,"$1,234",2011,2024-07-01
 MINI Cooper S Hatchback 2D,"Cincinnati, OH",108K miles · Dealership,"$7,995",2013,2024-07-01
 Hyundai azera GLS Sedan 4D,"Prospect, KY",121K miles,"$3,000",2009,2024-07-01
 Mercedes-Benz c-class C 300 4MATIC Luxury Sedan 4D,"Cincinnati, OH",142K miles,"$6,400",2012,2024-07-01
 Kia soul + Wagon 4D,"Cincinnati, OH",156K miles,"$5,400",2014,2024-07-01
 Nissan maxima,"Cincinnati, OH",90K miles,"$16,493",2019,2024-07-01
 Ford f150 regular cab Long Bed,"Cincinnati, OH",177K miles,"$5,500",1995,2024-07-01
 BMW 328i convertible,"Springfield, OH",81K miles,"$7,500",2008,2024-07-01
 Chevrolet cruze LT Sedan 4D,"Walton, KY",173K miles,"$4,500",2011,2024-07-01
 Audi q7 3.0T Premium Plus Sport Utility 4D,"Covington, KY",117K miles,"$2,500",2015,2024-07-01
 Nissan altima,"Cincinnati, OH",,"$4,995",2008,2024-07-01
 Acura tl SH-AWD Sedan 4D,"Cincinnati, OH",143K miles,"$6,800",2013,2024-07-01
 Ford explorer,"Lexington, KY",165K miles,"$9,800",2016,2024-07-01
 BMW x3 xDrive28i Sport Utility 4D,"Cincinnati, OH",108K miles,"$11,995",2016,2024-07-01
 Ford focus SE Sedan 4D,"Amelia, OH",150K miles,"$3,300",2015,2024-07-01
 Honda civic LX Sedan 4D,"Cincinnati, OH",190K miles,"$3,650",2005,2024-07-01
 Ford fusion SE Sedan 4D,"Waverly, OH",122K miles,"$4,750",2010,2024-07-01
 Honda accord DX Sedan 4D,"Walton, KY",138K miles,"$1,600",1983,2024-07-01
